VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,1756686389000000,1756686971000000,1,3.0,1,N,209,79,1,14.2,4.25,0.5,3.0,0.0,1.0,22.95,2.5,0.0,0.75
2,1756687570000000,1756690183000000,1,12.87,1,N,132,189,1,56.9,1.0,0.5,11.88,0.0,1.0,73.03,0.0,1.75,0.0
2,1756687111000000,1756687848000000,2,2.37,1,N,249,50,1,14.2,1.0,0.5,2.0,0.0,1.0,21.95,2.5,0.0,0.75
2,1756686201000000,1756687929000000,1,14.86,1,N,132,112,1,57.6,1.0,0.5,2.0,0.0,1.0,63.85,0.0,1.75,0.0
1,1756685631000000,1756686375000000,1,1.8,1,N,162,90,1,11.4,4.25,0.5,1.0,0.0,1.0,18.15,2.5,0.0,0.75
1,1756686727000000,1756687242000000,1,1.5,1,N,186,142,1,10.0,4.25,0.5,3.15,0.0,1.0,18.9,2.5,0.0,0.75
1,1756688306000000,1756688987000000,1,1.5,1,N,186,233,1,11.4,4.25,0.5,3.45,0.0,1.0,20.6,2.5,0.0,0.75
2,1756686410000000,1756686810000000,1,3.56,5,N,14,6,2,0.01,0.0,0.0,0.0,13.88,1.0,14.89,0.0,0.0,0.0
2,1756685134000000,1756685406000000,1,0.86,1,N,230,186,1,6.5,1.0,0.5,3.06,0.0,1.0,15.31,2.5,0.0,0.75
2,1756685517000000,1756685928000000,1,1.05,1,N,186,48,1,8.6,1.0,0.5,2.87,0.0,1.0,17.22,2.5,0.0,0.75
2,1756686445000000,1756687059000000,1,2.06,1,N,68,142,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
2,1756685488000000,1756686066000000,1,2.87,1,N,138,7,1,13.5,6.0,0.5,5.0,0.0,1.0,27.75,0.0,1.75,0.0
1,1756687930000000,1756689429000000,1,13.9,1,N,132,7,1,53.4,2.75,0.5,14.4,0.0,1.0,72.05,0.0,1.75,0.0
2,1756685620000000,1756686398000000,1,2.15,1,N,114,232,2,14.2,1.0,0.5,0.0,0.0,1.0,19.95,2.5,0.0,0.75
2,1756688395000000,1756688933000000,1,1.48,1,N,79,249,1,10.7,1.0,0.5,3.29,0.0,1.0,19.74,2.5,0.0,0.75
1,1756686023000000,1756686322000000,1,1.0,1,N,246,50,1,7.2,4.25,0.5,2.6,0.0,1.0,15.55,2.5,0.0,0.75
